freq,kappa,eta0
905.9,2.333521073008048,1.1210949340438776
906.0,2.3651686762256845,1.1250037211025115
906.1,2.3715501236718604,1.1232266580044064
906.2,2.406681148959777,1.1262917634801257
906.3,2.4006985317417326,1.1152471337345402
906.4,2.4132147096799743,1.124523762109394
906.5,2.397424442061569,1.1161323311154645
906.6,2.381187200319766,1.1205636542278474
906.7,2.377966140437692,1.1214509745732506
906.8,2.374753793336683,1.1223386430338993
906.9,2.374753793336683,1.1223386430338993
907.0,2.34929230040072,1.116637886843068
907.1,2.34929230040072,1.116637886843068
907.2,2.3237983517607077,1.1109588754017459
907.3,2.3301016042178304,1.109173010648775
907.4,2.3364391835366587,1.107388475154674
907.5,2.317087894999558,1.099931885523219
907.6,2.326612051521373,1.0972514843054912
907.7,2.3458974715376395,1.0918997563516022
907.8,2.3425071447482506,1.0799764399212808
907.9,2.359012200357965,1.0627098957796814
908.0,2.3799136394431213,1.0317505325653478
908.1,2.374326136787641,0.9566395099809576
908.2,2.4037030134325614,0.7471795321213647
908.3,2.382676791799991,0.6619093234112476
908.4,2.429211555723222,0.9314365090910894
908.5,2.4595012471761692,1.0123255847026662
908.6,2.4544960713432467,1.0260167803735138
908.7,2.481052973399579,0.95756899991268
908.8,2.520814417907303,0.9983262036886191
908.9,2.543103509704932,1.079284303653246
909.0,2.575993437257707,1.1081688455617889
909.1,2.5842346296001235,1.1183805404075606
909.2,2.6331676430000086,1.1310726419619432
909.3,2.6669127972183224,1.147255547900394
909.4,2.696652579649887,1.1523848497765377
909.5,2.7524275575209534,1.1635775681664984
909.6,2.78613818754831,1.167957408780236
909.7,2.819993744640967,1.1723772392556395
909.8,2.853995214228038,1.1768375572466125
909.9,2.9224398794969892,1.1858816860272128
910.0,2.955722483220352,1.1793534291899148
910.1,2.9999624445286757,1.1934788498899729
910.2,3.065477427074475,1.2036814895905947
910.3,3.1313812138307973,1.2140400479114222
910.4,3.2022587328335232,1.2237828820141152
910.5,3.247258221745719,1.2271885510834577
910.6,3.319333367553527,1.2372374732175584
910.7,3.3653712274608636,1.2408410162823127
910.8,3.470500373292371,1.2571974053974164
910.9,3.5178133292732823,1.261066454255803
911.0,3.5979070522298144,1.2711619508941643
911.1,3.71157777328522,1.2877869617209594
911.2,3.7666829329669698,1.2914378235512871
911.3,3.883120288819149,1.3088203352769678
911.4,3.973716209363392,1.319468006464315
911.5,4.099660770143559,1.3372336753112826
911.6,4.199982426335726,1.3481208421936521
911.7,4.308970301848185,1.3588899832626211
911.8,4.4344820931996685,1.3691572316274738
911.9,4.586800710227246,1.3689632006506263
912.0,4.708090520325368,1.37180799198722
912.1,4.881465340486927,1.4308280891997882
912.2,5.009635775313807,1.4543625796416684
912.3,5.194568902115043,1.4865525497779257
912.4,5.392567968076915,1.5201381047845157
912.5,5.57533417587657,1.5462344062398463
912.6,5.8341244550301266,1.593042227518378
912.7,6.040237960132116,1.6232676798459031
912.8,6.295906157206835,1.666159605790821
912.9,6.561402667141377,1.7124469240916451
913.0,6.850252602524557,1.7631261833457825
913.1,7.119701016895891,1.8067523565541832
913.2,7.496844957883624,1.8811220311116505
913.3,7.860851762192141,1.950922115531168
913.4,8.245588890557888,2.0289313751243268
913.5,8.637037265627182,2.1041423965581108
913.6,9.110876927201025,2.208151826908606
913.7,9.583056477986469,2.3112803480816195
913.8,10.15430402703196,2.453847183576901
913.9,10.763421553130387,2.6082039355489304
914.0,11.392517630610461,2.7724252684326545
914.1,12.088381299025214,2.973235657623404
914.2,12.897383605883086,3.218417140710564
914.3,13.684370996312873,3.4736965755610396
914.4,14.62858734261924,3.8227580651470494
914.5,15.670624840564281,4.249177837442992
914.6,16.789502694119882,4.740254061496501
914.7,18.07598487960251,5.388006362212466
914.8,19.361053328654886,6.150206451892847
914.9,20.914456494954734,7.211063081141991
915.0,22.462638116848552,8.398617648546066
915.1,24.205639470384007,10.002354022704072
915.2,25.985659682605206,11.92970370370368
915.3,28.001753665044518,14.608148662551415
915.4,30.081547935525474,18.042749999999984
915.5,31.965292236719492,21.51654355281203
915.6,34.15755970494705,26.871130427651764
915.7,36.686381672937,35.339993096079475
915.8,38.46190942578283,41.64018078437083
915.9,40.29806041084528,50.62499999999987
916.0,41.5888308335967,57.343999999999845
916.1,42.34363739325365,61.92485025034128
916.2,42.15758954000738,59.66299544833855
916.3,41.228460723543144,53.35641399416902
916.4,40.91079980008308,53.64857362962953
916.5,38.75883958812272,41.86224708504793
916.6,37.509169762094025,38.038587733506034
916.7,35.315679656495874,30.370665452890233
916.8,33.283256242466926,24.894126007080025
916.9,30.95125017432025,19.51872399999998
917.0,29.010279077083677,16.217985371741335
917.1,26.874694934021885,12.955601851851837
917.2,25.134467394229294,10.97702353662979
917.3,23.393404198676606,9.256008026022853
917.4,21.576193227438594,7.632810909831052
917.5,20.20117782653329,6.707088222262252
917.6,18.733397884216135,5.763697429412393
917.7,17.531008064492813,5.131504732407071
917.8,16.35940490585367,4.56043173004627
917.9,15.215148081122937,4.046954108306551
918.0,14.283029066609545,3.689300261394471
918.1,13.42528938620875,3.386240499429231
918.2,12.545595111446401,3.0858177107288025
918.3,11.871054869615008,2.8897415658448122
918.4,11.152593799275861,2.679751217730904
918.5,10.554621958020348,2.518040171503341
918.6,9.9775910549518,2.353924482452392
918.7,9.467729104987116,2.2054366377088397
918.8,9.017651755979138,2.00344405420597
918.9,8.581244777367496,1.941703341038529
919.0,8.14435913871157,1.9372855678852585
919.1,7.80549885228378,1.896094978566983
919.2,7.469641245102269,1.8397332034807232
919.3,7.180392217959729,1.790979202671634
919.4,6.8530022705788305,1.7247189083258179
919.5,6.588010520381461,1.665567284998593
919.6,6.332102238420624,1.5718211869021088
919.7,6.109926174538156,1.5578087182245668
919.8,5.8676609338002255,1.5552622452634768
919.9,5.652580092007792,1.5362381467190172
920.0,5.48558084648881,1.5187261038718753
920.1,5.265097373056478,1.4847396512911633
920.2,5.127235152162998,1.4694560524896478
920.3,4.964002623030946,1.446547100630573
920.4,4.804884090533178,1.4247656353703262
920.5,4.65722202480075,1.403609492260876
920.6,4.512719725759366,1.383352044589689
920.7,4.406453499451368,1.3711596472307361
920.8,4.30222759233891,1.3594229119999999
920.9,4.206501674954183,1.3475603546094077
921.0,4.078243787726443,1.329257381424792
921.1,4.0195451171389855,1.3249147840472937
